_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
138,Transit,Transportation,Mississauga,Port Credit GO Station - Hazel ,Under construction,To Be Determined,New Hazel McCallion Line stop,,Peel,Central,30 Queen St E,L5G 2Z6,Hurontario Light Rail Transit (LRT),0,,,,,https://www.metrolinx.com/en/projects-and-programs/hazel-mccallion-lrt,43.557555,-79.585233
139,Transit,Transportation,Mississauga,Mineola Stop - Hazel ,Under construction,To Be Determined,New Hazel McCallion Line stop,,Peel,Central,Mineola Rd W / Hurontario St,L5G 4N9,Hurontario Light Rail Transit (LRT),0,,,,,https://www.metrolinx.com/en/projects-and-programs/hazel-mccallion-lrt,43.561693,-79.590628
140,Transit,Transportation,Mississauga,North Service Stop - Hazel ,Under construction,To Be Determined,New Hazel McCallion Line stop,,Peel,Central,Hurontario St / Harborn Rd,L5B 1M8,Hurontario Light Rail Transit (LRT),0,,,,,https://www.metrolinx.com/en/projects-and-programs/hazel-mccallion-lrt,43.569876,-79.601808
141,Transit,Transportation,Mississauga,Queensway Stop- Hazel ,Under construction,To Be Determined,New Hazel McCallion Line stop,,Peel,Central,Hurontario St / Queensway W,L5A 2G2,Hurontario Light Rail Transit (LRT),0,,,,,https://www.metrolinx.com/en/projects-and-programs/hazel-mccallion-lrt,43.574093,-79.607543
142,Transit,Transportation,Mississauga,Dundas and Hurontario Stop - Hazel ,Under construction,To Be Determined,New Hazel McCallion Line stop,,Peel,Central,Hurontario St / Dundas W,L5A 2G4,Hurontario Light Rail Transit (LRT),0,,,,,https://www.metrolinx.com/en/projects-and-programs/hazel-mccallion-lrt,43.580124,-79.616128
143,Transit,Transportation,Mississauga,Cooksville GO Station,Complete,November 2020,GO Expansion - Early Works,The Cooksville Station redevelopment project consists of a new station building with a large public plaza; upgrades to existing rail platform and pedestrian tunnels; a new six-story parking structure with pedestrian bridge to rail platform.,Peel,Central,3210 Hurontario St,L5B 3Y9,Hurontario Light Rail Transit (LRT),"$128,400,000",,,,,http://www.gotransit.com/public/en/improve/projects/Cooksville/http://www.infrastructureontario.ca/Cooksville-GO-Station/,43.58288435,-79.62357813
144,Transit,Transportation,Mississauga,Fairview Stop - Hazel ,Under construction,To Be Determined,New Hazel McCallion Line stop,,Peel,Central,Hurontario St / Central Pkwy W,L5B 0B9,Hurontario Light Rail Transit (LRT),0,,,,,https://www.metrolinx.com/en/projects-and-programs/hazel-mccallion-lrt,43.589204,-79.628713
145,Transit,Transportation,Mississauga,Burnhamthorpe Stop - Hazel ,Under construction,To Be Determined,New Hazel McCallion Line stop,,Peel,Central,Hurontario St / Matthews Gate,L5A 3X1,Hurontario Light Rail Transit (LRT),0,,,,,https://www.metrolinx.com/en/projects-and-programs/hazel-mccallion-lrt,43.592289,-79.632996
146,Transit,Transportation,Mississauga,Robert Speck Stop - Hazel ,Under construction,To Be Determined,New Hazel McCallion Line stop,,Peel,Central,Hurontario St / Robert Speck Pkwy,L4Z 4E8,Hurontario Light Rail Transit (LRT),0,,,,,https://www.metrolinx.com/en/projects-and-programs/hazel-mccallion-lrt,43.596147,-79.638159
147,Transit,Transportation,Mississauga,City Centre Stop - Hazel ,Under construction,To Be Determined,New Hazel McCallion Line stop,,Peel,Central,Rathburn Rd W / Station Gate Rd,L5B 4E5,Hurontario Light Rail Transit (LRT),0,,,,,https://www.metrolinx.com/en/projects-and-programs/hazel-mccallion-lrt,43.594286,-79.646759
148,Transit,Transportation,Mississauga,Eglinton and Hurontario Stop - Hazel ,Under construction,To Be Determined,New Hazel McCallion Line stop,,Peel,Central,Hurontario St / Eglinton Ave E,L4Z 3X6,Hurontario Light Rail Transit (LRT),0,,,,,https://www.metrolinx.com/en/projects-and-programs/hazel-mccallion-lrt,43.606756,-79.652553
149,Transit,Transportation,Mississauga,Bristol Stop - Hazel ,Under construction,To Be Determined,New Hazel McCallion Line stop,,Peel,Central,Hurontario St / Bristol Rd E ,L5R 3K3,Hurontario Light Rail Transit (LRT),0,,,,,https://www.metrolinx.com/en/projects-and-programs/hazel-mccallion-lrt,43.614477,-79.663164
150,Transit,Transportation,Mississauga,Matheson Stop - Hazel ,Under construction,To Be Determined,New Hazel McCallion Line stop,,Peel,Central,Hurontario St / Matheson Blvd W,L5R 1C5,Hurontario Light Rail Transit (LRT),0,,,,,https://www.metrolinx.com/en/projects-and-programs/hazel-mccallion-lrt,43.619433,-79.669837
151,Transit,Transportation,Mississauga,Britannia Stop - Hazel ,Under construction,To Be Determined,New Hazel McCallion Line stop,,Peel,Central,Hurontario St / Britannia Rd E ,L4Z 3W7,Hurontario Light Rail Transit (LRT),0,,,,,https://www.metrolinx.com/en/projects-and-programs/hazel-mccallion-lrt,43.626345,-79.679149
152,Transit,Transportation,Mississauga,Courtney Park Stop - Hazel ,Under construction,To Be Determined,New Hazel McCallion Line stop,,Peel,Central,Hurontario St / Courtneypark Dr E,L5T 2Y9,Hurontario Light Rail Transit (LRT),0,,,,,https://www.metrolinx.com/en/projects-and-programs/hazel-mccallion-lrt,43.637162,-79.693794
153,Transit,Transportation,Mississauga,Derry Stop - Hazel ,Under construction,To Be Determined,New Hazel McCallion Line stop,,Peel,Central,Hurontario St / Derry Rd,L5T 2Z6,Hurontario Light Rail Transit (LRT),0,,,,,https://www.metrolinx.com/en/projects-and-programs/hazel-mccallion-lrt,43.645975,-79.705853
154,Transit,Transportation,Mississauga,Malton GO Station,Complete,To Be Determined,Existing station on the Kitchener line,,Peel,Central,,L4T 1A9,Kitchener GO Line,0,,,,,,43.705708,-79.638071
155,Transit,Transportation,Mississauga,Mississauga Transitway,Complete,December 2017,"18 kilometres of dedicated busway across Mississauga with 12 stations with better access to GO Transit, MiWay, and the TTC, and service connection to Toronto Pearson International Airport",18 new kilometres of dedicated bus lanes and 12 stations,Peel,Central,,,Mississauga Transitway,0,Yes,Yes,Yes,,http://www.metrolinx.com/en/greaterregion/projects/mississauga-transitway.aspx,,
156,Transit,Transportation,Mississauga,Erin Mills Station,Complete,September 2015,New Mississauga Transitway station,,Peel,Central,4430 Erin Mills Pkwy,L5M 4E4,Mississauga Transitway,0,,,,,,43.552191,-79.700339
157,Transit,Transportation,Mississauga,Tahoe Station,Complete,February 2016,New Mississauga Transitway station,,Peel,Central,4650 Tahoe Blvd,L4W 0B5,Mississauga Transitway,0,,,,,,43.638889,-79.610312
158,Transit,Transportation,Mississauga,Etobicoke Creek Station,Complete,February 2016,New Mississauga Transitway station,,Peel,Central,1915 Eglinton Ave E,L4W 5N2,Mississauga Transitway,0,,,,,http://www.mississauga.ca/portal/miway/transitwaystations,43.645501,-79.610225
159,Transit,Transportation,Mississauga,City Centre Transit Terminal,Complete,February 2016,New Mississauga Transitway station,,Peel,Central,200 Rathburn Rd W,L5B 4C1,Mississauga Transitway,0,,,,,,43.593786,-79.646394
160,Transit,Transportation,Mississauga,Central Parkway Station,Complete,November 2014,New Mississauga Transitway station,,Peel,Central,4325 Central Pkwy E,L4Z 1H4,Mississauga Transitway,0,,,,,http://www.mississauga.ca/portal/miway/transitwaystations,43.607964,-79.636177
161,Transit,Transportation,Mississauga,Cawthra Station,Complete,November 2014,New Mississauga Transitway station,,Peel,Central,775 Eastgate Pkwy,L4W 1J8,Mississauga Transitway,0,,,,,http://www.mississauga.ca/portal/miway/transitwaystations,43.617511,-79.628076
162,Transit,Transportation,Mississauga,Tomken Station,Complete,November 2014,New Mississauga Transitway station,,Peel,Central,4450 Tomken Rd,L4W 1J9,Mississauga Transitway,0,,,,,,43.62177,-79.623492
163,Transit,Transportation,Mississauga,Dixie Station,Complete,November 2014,New Mississauga Transitway station,,Peel,Central,4440 Dixie Rd,L5T 1A6,Mississauga Transitway,0,,,,,http://www.mississauga.ca/portal/miway/transitwaystations,43.630415,-79.614372
164,Transit,Transportation,Mississauga,Orbitor Station,Complete,May 2017,New Mississauga Transitway station,,Peel,Central,Orbitor Dr / Eglinton Ave W,L4W 4Y4,Mississauga Transitway,0,,,,,,43.657067,-79.598467
165,Transit,Transportation,Mississauga,Spectrum Station,Complete,May 2017,New Mississauga Transitway station,,Peel,Central,5005 Spectrum Way ,L4W 5N6,Mississauga Transitway,0,,,,,,43.649782,-79.605586
166,Transit,Transportation,Mississauga,Winston Churchill Station,Complete,December 2016,New Mississauga Transitway station,,Peel,Central,4310 Winston Churchill Boulevard ,L5M 7R4,Mississauga Transitway,0,,,,,http://www.mississauga.ca/portal/miway/transitwaystations,43.542013,-79.713197
167,Transit,Transportation,Mississauga,Renforth Gateway Station,Complete,December 2017,New Mississauga Transitway station,,Peel,Central,5001 Commerce Boulevard  ,L4W 5A7,Mississauga Transitway,0,,,,,,43.662425,-79.592343
168,Transit,Transportation,Mississauga,Construction of a new bus rapid transit corridor along Lakeshore Road in Mississauga,Planning,October 2029,This project will provide two-way centre-running bus rapid transit lanes and median BRT stop platforms on Lakeshore Road from East Avenue to Deta Road in the City of Mississauga.,Improved capacity of public transit infrastructure.,Peel,Central,,,,"$55,500,000",Yes,Yes,Yes,,,43.5716580|43.5757267|43.5805358|43.5846135|43.5861882,-79.5643732|-79.5600352|-79.5549520|-79.5506640|-79.5490333
169,Transit,Transportation,Mississauga,Enhanced Stop Amenities for Priority (Express) Bus Corridors,Under construction,October 2027,"The project scope includes the procurement of services and installation of up to 89 large transit stop shelters that will be fully heated, include doors that meet provincial accessibility standard, and new digital signage. The shelters will be installed within four Frequent Rapid Transit Network Bus Priority Corridor. ","The project will result in improved capacity, quality, safety and improved access to the public transit system in Mississauga, Ontario",Peel,Central,,,,"$36,800,000",Yes,Yes,Yes,,,43.589,-79.6441
170,Transit,Transportation,Mississauga,Major Bus Rehabilitations,Under construction,October 2027,The project involves the rehabilitation of major bus components and subsystems throughout the existing public transit fleet of 500 conventional diesel and diesel-hybrid buses to extend their service life-cycle with improved reliability.,"The project will result in improved quality, safety, and accessibility of the transit system in Mississauga, Ontario.",Peel,Central,,,,"$44,100,000",Yes,Yes,Yes,,,,
171,Transit,Transportation,Mississauga,ITS Hardware and Software Upgrade in Transit Buses,Under construction,March 2027,"The Project will replace the CAD/AVL/MDT unit on approximately 300 transit buses, upgrade the back-end Bus Scheduling software (HASTUS) along with Bus Monitoring/Tracking, software(Transit Master); upgrade other ITS Equipment (cameras, dvr) on all 300 buses; and upgrade/activate the software/module which helps with vehicle component monitoring (Bus Intelligence).","The project will result in improved quality of the transit system in Mississauga, Ontario.",Peel,Central,,,,"$9,000,000",Yes,Yes,Yes,,,,
172,Transit,Transportation,Mississauga,Installation of On-Street Bus Shelters,Under construction,October 2027,"This project will involve the installation of 210 new bus shelters at existing bus stops. Shelter types include solar powered lighting, hydro powered lighting and ad panel lighting. ",Increased quality and safety within on-street transit shelters due to enhanced lighting and visibility of customers awaiting pick-up.,Peel,Central,,,,"$3,780,000",Yes,Yes,Yes,,,43.602173,-79.658389
173,Transit,Transportation,Mississauga,Bus Terminal Shelter Enhancements,Under construction,October 2026,"This project consists of the installation of one shelter at each of four (4) bus terminals. The project will deliver heated shelters with digitized signage at the Laird/Vega Bus Loop, Meadowvale Town Centre, Erin Mills Town Centre and Dixie Outlet Mall. ","The project will result in increased quality of, and access to, the transit system in Mississauga, Ontario.",Peel,Central,,,,"$1,600,000",Yes,Yes,Yes,,,43.560474,-79.710711
174,Transit,Transportation,Mississauga,New and/or Rehabilitation of Bus Stop Pads,Under construction,December 2024,The project involves the installation of new bus stop pads and rehabilitation of existing ones to ensure that bus stops are fully accessible.  ,"The project will lead to improved quality and accessibility of the public transit system in the City of Mississauga, Ontario.",Peel,Central,,,,"$336,000",Yes,Yes,Yes,,,43.58976,-79.671796
175,Transit,Transportation,Mississauga,Replacement of Stop Markers with New Accessible Design,Planning,October 2027,Purchase and installation of 3325 bus poles and 6650 stop markers. Stop markers will be printed accordingto a new accessible design to be implemented system wide (at all bus stops).,"The project will result in improved quality and safety of the transit system and improved access to a public transit system in Mississauga, Ontario.",Peel,Central,,,,"$704,000",Yes,Yes,Yes,,,43.589,-79.6441
176,Transit,Transportation,Mississauga,Enhanced Customer Partitions (Transitway),Under construction,October 2027,"The project scope includes construction of enhanced glass partitions on top of an existing median concrete jersey barriers that separate the buses travelling in different directions at seven stations along the Mississauga Transitway. The seven stations are located at Central Parkway Station, Cawthra Station, Tomken Station, Dixie Station, Tahoe Station, Etobicoke Creek Station, and Spectrum Station.","The project will result in improved safety of public transit system infrastructure in the City of Mississauga, Ontario.",Peel,Central,,,,"$700,000",Yes,Yes,Yes,,,43.589,-79.6441
177,Transit,Transportation,Mississauga,Transit Terminal Upgrades,Under construction,October 2027,"The project scope includes various transit assets including two new accessible passenger pick-up layby’s, public facing signage to provide customer safety information at 17 locations and additional pylon signage at City Centre Transit Terminal (CCTT) and Westwood stations.","The project will result in improved quality, and safety of existing and future public transit system infrastructure as well as improved access to the public transit system in the City of Mississauga, Ontario.",Peel,Central,,,,"$700,000",Yes,Yes,Yes,,,43.595318,-79.633303
178,Transit,Transportation,Mississauga,Purchase of Transit Support Vehicles,Planning,March 2026,"Project scope includes the procurement of 10 zero-emission battery electric vehicles to replace existing non-electric transit support vehicles for purposes such as driver change-off, supervisor transportation and maintenance within the City's non-revenue transit fleet.","The project will result in improved quality and safety of the transit system in Mississauga, Ontario.",Peel,Central,,,,"$400,000",Yes,Yes,Yes,,,,
179,Transit,Transportation,Mississauga,Farebox Refurbishments,Planning,March 2025,Refurbish the farebox system in 530 buses. ,"Extended useful life, improved quality and accessibility of the transit system.",Peel,Central,,,,"$1,638,000",Yes,Yes,Yes,,,,
180,Transit,Transportation,Mississauga,Bus Replacement Program,Planning,March 2027,This project involves the purchase of hybrid buses through the Mississauga Bus Replacement Program.,Improved capacity of public transit infrastructure.,Peel,Central,,,,0,Yes,Yes,Yes,,,43.589,-79.6441
181,Transit,Transportation,Mississauga,Transit Priority Measures (Infrastructure) for Priority (Express) Bus Corridors,Planning,October 2027,"The Project involves implementation of transit priority measures to improve and enhance three Mississauga bus corridors identified within the City Right of Way (ROW). The project will construct queue jump lanes at 25 intersections on both approaches (i.e., 2 at each intersection) for a total of 16 on Derry Rd., 16 on Eglinton Rd., and 18 on Dixie Rd. Total length of assets is ~0.6km (~12m per queue jump lane).",Improve quality and safety of the existing transit system with safety related and operational improvements,Peel,Central,,,,"$12,600,000",Yes,Yes,Yes,,,43.589,-79.6441
182,Transit,Transportation,Newmarket,Davis Drive and Highway 404 Carpool Lot Expansion,Complete,November 2015,,,York,Central,,,Highway 404,"$4,000,000",,Yes,,Yes,https://www.yorkregion.com/news-story/5563688-construction-beginning-at-davis-drive-hwy-404-park-and-ride/,44.067408,-79.421708
183,Transit,Transportation,Newmarket,Newmarket GO Station,Complete,To Be Determined,Existing station on the Barrie Line,,York,Central,,,Barrie GO Line,0,,,,,,44.060475,-79.458695
184,Transit,Transportation,Niagara,Technology Upgrades,Planning,December 2024,"Upgrade 36 buses with new technology, including radio communication systems and security cameras.","Enhanced safety for transit users, and improved communication between operators of regional transit.",Niagara,Central,,,,"$783,725",Yes,Yes,Yes,,,,
185,Transit,Transportation,Niagara,Fare Payment Technology,Planning,March 2028,"Install 60 new fareboxes on buses to provide multiple payment options for riders. e.g.:  mobile ticketing, debit/credit cards, smart card, etc.",Enhance convenience for transit system users.,Niagara,Central,,,,"$1,355,750",Yes,Yes,Yes,,,,
186,Transit,Transportation,Niagara,Bus Purchase,Complete,July 2022,Purchase two new buses with updated technology. ,"Enhanced service frequency, and improved capacity and quality of the transit system. ",Niagara,Central,,,,"$1,650,000",Yes,Yes,Yes,,,,
187,Transit,Transportation,Niagara Falls,Conventional Transit Bus Replacement,Complete,December 2021,Purchase four 40' and two 60' buses to replace vehicles that have exceeded their useful life expectancy.,Improved capacity of public transit infrastructure,Niagara,Central,,,,"$4,675,000",Yes,Yes,Yes,,,,
188,Transit,Transportation,Niagara Falls,Conventional Transit Buses Refurbishment,Complete,August 2021,"Refurbish four 2009, 40-foot Novabus Low Floor Series diesel buses to extend their useful life.","Improved capacity, quality and safety of existing and future transit systems.",Niagara,Central,,,,"$660,000",Yes,Yes,Yes,,,,
189,Transit,Transportation,Niagara Falls,Transit Bus Refurbishment,Complete,December 2020,Replace the transmission on six buses. ,"Improved fuel economy, transit reliability and lowered maintenance.  ",Niagara,Central,,,,"$68,200",Yes,Yes,Yes,,,,
190,Transit,Transportation,Niagara Falls,Automotive Lift,Planning,March 2025,Purchase an automotive lift for buses.,"Enhanced safety and productivity, increased efficiency and quality of the public transit system.",Niagara,Central,,,,"$44,000",Yes,Yes,Yes,,,,
191,Transit,Transportation,Niagara Falls, Video Camera Systems,Planning,March 2025,Install video surveillance equipment on public transit buses.,Improved safety and security of operators and passengers.,Niagara,Central,,,,"$990,000",Yes,Yes,Yes,,,,
192,Transit,Transportation,Niagara Falls,Vehicle Hoist,Planning,March 2027,Purchase an in-ground hoist for bus repair,Increased efficiency and productivity of vehicle maintenance.,Niagara,Central,,,,"$495,000",Yes,Yes,Yes,,,,
193,Transit,Transportation,Niagara Falls,Extension of Parking and Storage Facilities,Planning,March 2027,Expansion of the bus fleet parking facility will create additional indoor parking spaces for buses,THis will increase the longevity of buses  by reducing their exposure to the elements.  ,Niagara,Central,,,,"$3,850,000",Yes,Yes,Yes,,,,
194,Transit,Transportation,Niagara Falls,Video Surveillance Equipment ,Complete,June 2023,Install video surveillance equipment at the Morrison/ Dorchester transit hub.,Improved  safety and security of transit customers and employees. ,Niagara,Central,,,,"$55,000",Yes,Yes,Yes,,,,
195,Transit,Transportation,Niagara Falls,Fuel System Upgrade,Planning,2024,"Installation a new fuel and fluid tracking system, as well as various repairs to public transit vehicles.",Improved efficiency of fueling procedures.,Niagara,Central,,,,"$220,000",Yes,Yes,Yes,,,,
196,Transit,Transportation,Niagara Falls,Communications System Upgrades,Planning,March 2025,Upgrade the transit fleet’s radio communications and location systems ,Improved communication protocols.,Niagara,Central,,,,"$880,000",Yes,Yes,Yes,,,,
197,Transit,Transportation,Niagara Falls,Supervisors Vehicle ,Complete,June 2021,Purchase an additional supervisor support vehicle.,"Improved access to health and safety services, and reduce equipment repair wait times, leading to better service standards for passengers. ",Niagara,Central,,,,"$77,000",Yes,Yes,Yes,,,,
198,Transit,Transportation,Niagara Falls,Bus Parking and Holding Facility,Complete,March 2024,Construction of new bus parking/holding facilities on Morrison Street,Improved overall quality of the transit service.,Niagara,Central,,,,"$550,000",Yes,Yes,Yes,,,43.10358,-79.1141
199,Transit,Transportation,Niagara Falls,Bridge Street Multi-Modal Hub,Planning,March 2027,Construction of a multi-modal hub that will increase access to local transit and transportation alternatives for visitors and commuters using the GO regional transit system to get to and from Niagara Falls. ,Improved capacity of public transit infrastructure. Improved capacity and/or quality of pathways and/or active transportation infrastructure ,Niagara,Central,,,,"$4,400,000",Yes,Yes,Yes,,,,
200,Transit,Transportation,North Bay,Transit Terminal Improvements,Complete,December 2022,Improvements to transit terminal public washrooms. ,Increased accessibility and improved safety for waiting passengers. ,Nipissing,Northeast,,,,"$375,001",Yes,Yes,Yes,,,,
201,Transit,Transportation,North Bay,Transit Terminal Rehabilitation,Under construction,December 2025,"Repair or replace sidewalks, create green spaces, add outdoor seating, and update light fixtures.","Improved quality, safety and accessibility of the public transit system in North Bay.",Nipissing,Northeast,,,,"$258,750",Yes,Yes,Yes,,,46.308942,-79.46404
202,Transit,Transportation,North Bay,On-Demand Transit Service,Planning,December 2024,Implement a system that allows a demand-driven scheduling system during evening hours and Sunday service. This on-demand service will use one dispatching system for both conventional and specialized transit.,"A more responsive and operationally efficient system, leading to increased customersatisfaction and ridership.",Nipissing,Northeast,,,,"$262,500",Yes,Yes,Yes,,,,
203,Transit,Transportation,North Bay,Bicycle Racks and Related Storage Areas,Planning,March 2025,"Install bike racks on buses and bike/personal storage areas at transit terminals, stops and cycling destinations. ",Increased flexible mobility solutions for passengers and improved quality of the transit and active transportation systems. ,Nipissing,Northeast,,,,"$136,500",Yes,Yes,Yes,,,,
204,Transit,Transportation,North Bay,Facility Improvements to the Fleet Garage and Bus Barn,Under construction,December 2024,"Purchase and installation of new assets for the fleet garage and bus barn, including a fall arrest system, vehicle hoist, security cameras, and software, will improve the quality and safety of the transit system","The project will result in improved quality and safety of the public transit system in North Bay, Ontario.",Nipissing,Northeast,,,,"$381,512",Yes,Yes,Yes,,,,
205,Transit,Transportation,North Bay,Specialized Transit Buses Improvements ,Planning,March 2025,Install video cameras and automatic vehicle location systems on specialized buses.,Increased safety and efficiency of the  transit system for passengers.,Nipissing,Northeast,,,,"$131,250",Yes,Yes,Yes,,,,
206,Transit,Transportation,North Bay,Bus Shelter Improvements,Under construction,December 2024,"Improve existing bus shelters, add new shelters and new digital signage.",Increased safety and accessibility for public transit users. ,Nipissing,Northeast,,,,"$441,000",Yes,Yes,Yes,,,,
207,Transit,Transportation,North Bay,Trackless Snow Plow,Complete,June 2021,Purchase a new trackless snow plow., Improved safety and accessibility for pedestrians walking to transit stops. ,Nipissing,Northeast,,,,"$159,600",Yes,Yes,Yes,,,,
208,Transit,Transportation,North Bay,Sidewalks  Improvements,Under construction,December 2026,Construct more than four kilometres of new sidewalk along established transit routes.,Increased safety and accessibility for pedestrians of the transit system. ,Nipissing,Northeast,,,,"$8,898,834",Yes,Yes,Yes,,,,
209,Transit,Transportation,North Bay,Fleet Garage Upgrades ,Complete,June 2022,Upgrades to the bus fleet garage.,Improved energy efficiency and maintenance of the bus fleet.,Nipissing,Northeast,,,,"$120,769",Yes,Yes,Yes,,,,
210,Transit,Transportation,Oakville,Bronte GO Station Parking Expansion,Complete,August 2015,Expanding and repaving existing lots,200 new parking spots added,Halton,Central,27 Church St W,,,0,,,,,,43.416406,-79.726239
211,Transit,Transportation,Oakville,Lakeshore West Corridor Expansion - Burloak Drive Grade Separation,Planning,August 2026,GO Expansion - Early Works,Metrolinx is working with the City of Burlington and the Town of Oakville to build the Burloak Drive underpass which will improve traffic flow without having to wait for trains to pass.,Halton,Central,,,,0,,,,,https://www.metrolinx.com/en/greaterregion/projects/burloak-drive-underpass.aspx,43.39035135,-79.74974574
212,Transit,Transportation,Oakville,Conventional Vehicle Replacement - 2022,Planning,March 2025,Purchase 8 zero-emission buses to replace ageing ones along with 8 heavy-duty charging stations.,"Reduced operation and maintenance costs, and quieter bus operations.",Halton,Central,,,,"$9,060,000",Yes,Yes,Yes,,,,
213,Transit,Transportation,Oakville,"Real-Time Scheduling Software, Mobile Application and Tablets",Planning,February 2025,Introduce on-demand scheduling and real-time trip management technology.,Increased quality and convenience of the public transit system,Halton,Central,,,,"$339,800",Yes,Yes,Yes,,,,
214,Transit,Transportation,Oakville,Bus Stop Accessibility Improvements,Under construction,September 2024,"Improvements to landing pads, walkways, ramps, and curbs at approximately 81 bus stops in the city’s public transit system. ","Improved quality, safety, and accessibility of the public transit system for all users.",Halton,Central,,,,"$500,000",Yes,Yes,Yes,,,,
215,Transit,Transportation,Oakville,Specialized Vehicle Replacement,Planning,December 2026,"Purchase 18 specialized zero-emission battery-electric buses, and install 10 light-duty electric bus charging stations. ",Reduced operation and maintenance costs.,Halton,Central,,,,"$8,650,000",Yes,Yes,Yes,,,,
216,Transit,Transportation,Oakville,Specialized Vehicle Expansion,Planning,December 2026,Purchase nine additional specialized zero-emission battery-electric buses.,"Improved quality and capacity of the public transit system, while reducing the fleet’s carbon emissions.",Halton,Central,,,,"$4,590,000",Yes,Yes,Yes,,,,
217,Transit,Transportation,Oakville,Conventional Vehicle Expansion,Planning,March 2025,Purchase seven zero-emission battery-electric buses and four charging stations.,Improved quality and capacity of the public transit system,Halton,Central,,,,"$8,278,810",Yes,Yes,Yes,,,,
218,Transit,Transportation,Oakville,Conventional Vehicle Replacement,Planning,March 2027,Purchase three zero emission battery-electric buses.,"Improved quality and capacity of the public transit system, while reducing the fleet’s carbon emissions.",Halton,Central,,,,"$2,040,000",Yes,Yes,Yes,,,,
219,Transit,Transportation,Oakville,Conventional Vehicle Replacement,Planning,March 2026,Purchase eight zero emission battery-electric buses.,"Improved quality and capacity of the public transit system, while reducing the fleet’s carbon emissions.",Halton,Central,,,,"$8,160,000",Yes,Yes,Yes,,,,
220,Transit,Transportation,Oakville,Conventional Vehicle Replacement,Planning,March 2025,Purchase six zero emission battery-electric buses.,"Improved quality and capacity of the public transit system, while reducing the fleet’s carbon emissions.",Halton,Central,,,,"$6,120,000",Yes,Yes,Yes,,,,
221,Transit,Transportation,Oakville,Conventional Vehicle Replacement ,Planning,December 2025,Purchase eight zero emission battery-electric buses.,"Improved quality and capacity of the public transit system, while reducing the fleet’s carbon emissions.",Halton,Central,,,,"$8,160,000",Yes,Yes,Yes,,,,
222,Transit,Transportation,Oakville,Conventional Vehicle Replacement,Planning,September 2024,"Purchase seven zero-emission battery-electric buses, as well as seven charging stations.","Improved quality and capacity of the public transit system, while reducing the fleet’s carbon emissions.",Halton,Central,,,,"$8,127,500",Yes,Yes,Yes,,,,
223,Transit,Transportation,Oakville,Intelligent Transportation System and Data Feed Upgrade,Complete,November 2022,"Implement technology upgrades to provide bus location, arrival and departure times to transit riders via internet and a smart phone application.","Integration with the Metrolinx Triplinx planner, enabling transit users to do regional trip planning using the same technology. ",Halton,Central,,,,"$563,000",Yes,Yes,Yes,,,,
224,Transit,Transportation,Oakville,Integrated Conventional Scheduling Software,Planning,October 2024,Purchase an automated service scheduling and dispatch system.,Improved transit services scheculing and quality of service. ,Halton,Central,,,,"$670,000",Yes,Yes,Yes,,,,
225,Transit,Transportation,Oakville,Onboard WiFi System ,Complete,November 2022,"Install WiFi on 107 conventional and 20 specialized buses, enabling transit users to have onboard mobile device connectivity and live streaming of onboard video during emergencies. ",Improved safety and convenience of the public transit system for customers and staff. ,Halton,Central,,,,"$882,000",Yes,Yes,Yes,,,,
226,Transit,Transportation,Orangeville,Transit Transfer Station. Shelters/Stops and Fixed Assets,Under construction,December 2024,"Purchase a new 9-metre specialized low floor transit bus, and construct a new transfer terminal.",Improved transit service and more convenience for passengers. ,Dufferin,Central,,,,"$2,093,750",Yes,Yes,Yes,,,,
227,Transit,Transportation,Orillia,New Transit Shelters,Under construction,December 2028,Install 30 bus shelters throughout the city.,Enhanced comfort and safety of public transit users.,Simcoe,Central,,,,"$678,500",Yes,Yes,Yes,,,44.6082,-79.4197
228,Transit,Transportation,Orillia,Transit System Improvements,Under construction,2024,"Introduce smart pay systems, security cameras and bike racks on twelve conventional buses and one specialized bus. ","Improved quality and safety of, and access to, Orillia's public transit system.",Simcoe,Central,,,,"$557,750",Yes,Yes,Yes,,,44.608,-79.4197
229,Transit,Transportation,Orillia,New Transit Terminal,Planning,December 2027,Construct a new bus terminal that includes parking and a connection to multi-use paths.,Improved access to the transit system and increased passenger satisfaction.,Simcoe,Central,,,,"$9,975,000",Yes,Yes,Yes,,,44.6082,-79.4197
230,Transit,Transportation,Orillia,Conventional and Specialized Bus Replacement,Planning,March 2027,Purchase five conventional and two specialized buses to replace aging buses.,Improved quality and safety of the public transit service.,Simcoe,Central,,,,"$4,080,000",Yes,Yes,Yes,,,44.6082,-79.4197
231,Transit,Transportation,Oshawa,New Oshawa GO/VIA Station Building,Complete,December 2017,Construction of a new GO station,"A larger, more accessible station building",Durham,Central,915 Bloor St W,L1J 7E2,,0,,Yes,,Yes,https://www.news.ontario.ca/mto/en/2017/10/ontario-making-transit-more-convenient-in-durham-region.html,43.870989,-78.884786
